1780105649,133457848,0,0,0,0,0.00,6.25
1780105650,786964992,0,0,0,0,0.00,7.19
1780105650,969861158,0,0,0,0,0.00,6.22
1780105652,657728752,0,0,0,0,0.00,7.00
1780105653,776747358,0,0,0,0,0.00,6.67
1780105653,948564330,0,0,0,0,0.00,5.97
1780105655,432559055,0,0,0,0,0.00,6.58
1780105656,56104974,0,0,0,0,0.00,5.81
1780105656,937127744,26,1,1,0,0.00,2.48
1780105657,937145794,38,1,1,0,0.00,1.88
1780105658,937140238,31,0,0,0,0.00,1.00
1780105659,937147403,41,0,0,0,0.00,0.94
1780105660,937160398,49,1,1,0,0.00,2.62
1780105661,944079747,42,0,0,0,0.20,0.80
1780105662,937180749,27,0,0,0,0.00,1.37
1780105663,937147369,28,0,0,0,0.00,1.76
1780105664,937136977,19,0,0,0,0.00,0.38
1780105665,937187839,39,0,0,0,0.00,1.62
1780105666,937164948,53,0,0,0,0.00,1.69
1780105667,937174004,49,1,2,0,0.00,0.94
1780105668,937193267,37,0,0,0,0.00,1.95
1780105669,937186497,42,0,0,0,0.00,0.75
1780105670,937275762,39,0,1,2,0.00,1.06
1780105671,937149192,39,0,0,0,0.00,1.70
1780105672,937169072,36,0,0,0,0.00,0.56
1780105673,937185243,48,0,0,0,0.00,1.76
1780105674,937171880,44,2,2,0,0.00,1.38
1780105675,937185070,37,0,0,0,0.00,0.69
1780105676,937170856,45,0,1,0,0.00,2.56
1780105677,937186859,27,0,0,0,0.00,0.44
1780105678,937101218,50,0,0,0,0.00,1.50
1780105679,937205316,41,1,1,0,0.00,1.57
1780105680,937245334,47,0,0,0,0.00,0.69
1780105681,937174078,44,1,1,0,0.00,1.82
1780105682,937138935,26,0,0,0,0.00,0.69
1780105683,937177727,37,0,0,0,0.00,0.62
1780105684,937216112,20,0,0,0,0.00,2.12
1780105685,937112869,55,0,1,0,0.00,0.81
1780105686,938234084,98,1,1,0,0.00,2.68
1780105687,937210039,36,0,0,0,0.00,1.13
1780105688,937165086,55,0,0,0,0.00,0.81
1780105689,937181179,44,0,0,0,0.00,2.26
1780105690,937176308,41,0,0,0,0.00,0.63
1780105691,937156125,38,1,1,0,0.00,0.94
1780105692,937182194,54,0,1,0,0.00,1.57
1780105693,937163063,38,1,1,0,0.00,0.50
1780105694,937131976,45,0,0,0,0.00,1.94
1780105695,937198828,20,0,0,0,0.00,1.20
1780105696,937175471,36,0,0,0,0.00,0.44
1780105697,937113729,47,1,1,0,0.00,1.50
1780105698,937157158,37,0,0,0,0.00,1.19
1780105699,937140832,53,0,0,0,0.00,0.69
1780105700,937218617,46,0,1,0,0.00,2.26
1780105701,937154499,38,1,1,0,0.00,0.81
1780105702,937102678,40,0,0,0,0.00,1.19
1780105703,937177827,50,0,1,0,0.00,1.51
1780105704,937161253,38,0,0,2,0.00,0.75
1780105705,937167260,35,1,1,0,0.00,1.57
1780105706,937212353,33,0,1,0,0.00,0.69
1780105707,937189396,33,0,0,0,0.00,0.50
1780105708,937199321,36,1,1,0,0.00,1.76
1780105709,937085848,48,1,0,0,0.00,0.88
1780105710,937086792,28,0,1,0,0.00,1.19
1780105711,937240036,42,0,0,0,0.00,1.25
1780105712,937187050,36,1,0,0,0.00,0.50
1780105713,937155589,34,0,0,0,0.00,1.70
1780105714,937239829,34,0,0,0,0.00,0.63
1780105715,937124244,51,0,0,0,0.00,0.75
1780105716,937250514,28,0,0,0,0.00,1.76
1780105717,937207203,34,0,0,0,0.00,0.50
1780105718,937105013,17,0,0,0,0.00,1.19
1780105719,937142737,68,0,0,0,0.00,1.25
1780105720,937182943,38,0,0,0,0.00,0.69
1780105721,938041118,39,0,0,0,0.00,2.43
1780105722,937170714,40,0,0,0,0.00,0.69
1780105723,937194683,57,0,0,0,0.00,1.69
1780105724,937162217,29,0,0,0,0.00,1.00
1780105725,937132081,40,0,0,0,0.00,0.56
1780105726,937132184,54,2,2,0,0.00,2.13
1780105728,443487363,58,0,0,0,0.00,1.15
1780105728,937169916,17,0,0,0,0.00,0.76
1780105729,937167722,48,0,1,0,0.00,1.82
1780105730,937119116,36,0,0,0,0.00,1.00
1780105731,937150612,43,0,0,0,0.00,0.56
1780105732,937174884,41,0,0,0,0.00,2.25
1780105733,937141516,53,0,1,0,0.00,0.75
1780105734,937200633,28,1,1,0,0.00,1.25
1780105735,937175693,36,0,0,0,0.00,1.13
1780105736,937152957,41,0,0,0,0.00,0.75
1780105737,937162108,43,1,1,0,0.00,1.89
1780105738,937240832,46,1,1,0,0.00,0.88
1780105739,937215322,40,0,0,0,0.00,0.63
1780105740,937182502,32,0,0,0,0.00,1.82
1780105741,937208027,32,0,0,0,0.00,0.44
1780105742,937199925,23,0,0,0,0.00,1.44
1780105743,937180625,24,0,0,0,0.00,0.69
1780105744,937190702,48,1,3,0,0.00,0.88
1780105745,937349786,45,1,0,0,0.00,2.38
1780105746,937201039,83,0,0,0,0.00,1.31
1780105747,937602645,50,0,0,0,0.00,1.07
1780105748,937170144,40,1,2,0,0.00,1.57
1780105749,937174406,48,0,0,0,0.00,0.63
1780105750,937164351,14,0,0,0,0.00,3.13
